Head to head statistics:

 1) Stockfish 13        3696.3 :   1200 (+882,=314,-4),  86.6 %

    vs.                        :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Senpai 2.0                 :     50 (   7,  14,  29),  28.0 :  -138.2,  12.8,    0.0
    iCE 3.0                    :     50 (   5,  14,  31),  24.0 :  -107.6,  10.6,    0.0
    Arasan 20.4.1              :     50 (   2,  20,  28),  24.0 :  -107.2,  13.5,    0.0
    Ethereal 9.04              :    150 (  40,  58,  52),  46.0 :   -49.3,  10.4,    0.0
    Hakkapeliitta 3.0          :    150 (  46,  61,  43),  51.0 :   -11.6,  11.9,   16.5
    DiscoCheck 5.2.1           :    100 (  38,  38,  24),  57.0 :   +36.0,  11.4,   99.9
    Rodent III                 :    100 (  45,  28,  27),  59.0 :   +64.3,  11.5,  100.0
    Gaviota 1.0                :    100 (  49,  34,  17),  66.0 :  +114.8,  11.7,  100.0
    Sjeng 3.0                  :    100 (  58,  31,  11),  73.5 :  +141.9,  12.2,  100.0
    Pawny 1.2                  :    100 (  58,  31,  11),  73.5 :  +184.5,  12.8,  100.0
    Fruit 2.3                  :    100 (  58,  36,   6),  76.0 :  +190.4,  11.5,  100.0
    Marvin 3.0                 :    100 (  62,  29,   9),  76.5 :  +271.7,  11.2,  100.0
    Djinn 1.021                :    100 (  81,  14,   5),  88.0 :  +299.4,  10.6,  100.0
    Rodin 8.0                  :    100 (  75,  20,   5),  85.0 :  +307.2,  12.2,  100.0

16) DiscoCheck 5.2.1    2937.5 :   1100 (+514,=352,-234),  62.7 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (  14,  35,  51),  31.5 :   -85.3,  11.4,    0.0
    Hakkapeliitta 3.0          :    100 (  25,  29,  46),  39.5 :   -47.6,  11.2,    0.0
    Crafty 25.2                :    100 (  24,  38,  38),  43.0 :   -36.0,  11.4,    0.1
    Rodent III                 :    100 (  37,  33,  30),  53.5 :   +28.3,  10.1,   99.7
    Gaviota 1.0                :    100 (  47,  34,  19),  64.0 :   +78.9,  11.5,  100.0
    Sjeng 3.0                  :    100 (  53,  35,  12),  70.5 :  +105.9,  11.8,  100.0
    Pawny 1.2                  :    100 (  57,  36,   7),  75.0 :  +148.5,  13.2,  100.0
    Fruit 2.3                  :    100 (  50,  39,  11),  69.5 :  +154.4,  11.4,  100.0
    Marvin 3.0                 :    100 (  64,  25,  11),  76.5 :  +235.8,  11.0,  100.0
    Djinn 1.021                :    100 (  67,  26,   7),  80.0 :  +263.5,  10.3,  100.0
    Rodin 8.0                  :    100 (  76,  22,   2),  87.0 :  +271.2,  10.3,  100.0

17) Spike 1.4           2916.6 :   1100 (+158,=298,-644),  27.9 %

