Head to head statistics:

 1) Stockfish 16.1     3768.9 :   2200 (+759,=1432,-9),  67.0 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Koivisto 9.0              :    200 (   4,  117,   79),  31.3 :  -122.2,   7.5,    0.0
    SlowChess 2.9             :    200 (  18,  139,   43),  43.8 :   -64.7,   7.5,    0.0
    Arasan 24.2.2             :    400 (  26,  290,   84),  42.8 :   -61.4,   6.3,    0.0
    Minic 3.41                :    400 (  47,  274,   79),  46.0 :   -30.3,   6.4,    0.0
    Texel 1.11                :    200 (  29,  146,   25),  51.0 :    +6.3,   8.0,   78.5
    Hiarcs 15.3.1             :    200 (  74,  101,   25),  62.3 :   +63.7,   7.6,  100.0
    Shredder 13               :    200 ( 152,   46,    2),  87.5 :  +293.0,   8.1,  100.0

13) Texel 1.11         3514.8 :   3200 (+1968,=1053,-179),  78.0 %

    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    200 (   11,  150,  39),  43.0 :   -67.7,   8.1,    0.0
    Minic 3.41                :    200 (   23,  139,  38),  46.3 :   -36.6,   8.0,    0.0
    Wasp 7.00                 :    200 (   25,  146,  29),  49.0 :    -6.3,   8.0,   21.5
    Hiarcs 15.3.1             :    400 (  115,  230,  55),  57.5 :   +57.4,   7.5,  100.0
    Shredder 13               :    400 (  289,  101,  10),  84.9 :  +286.7,   7.9,  100.0
    Demolito 20211004         :    200 (  148,   48,   4),  86.0 :  +314.0,   8.9,  100.0
    iCE 4.0                   :    200 (  154,   46,   0),  88.5 :  +374.8,   7.3,  100.0
    Weiss 1.3                 :    200 (  153,   44,   3),  87.5 :  +374.9,   8.3,  100.0
    Senpai 2.0                :    200 (  166,   34,   0),  91.5 :  +390.5,   8.9,  100.0
    Orion 1.0                 :    200 (  153,   47,   0),  88.3 :  +423.4,   8.8,  100.0
    Rodent 4                  :    200 (  173,   27,   0),  93.3 :  +510.3,   9.0,  100.0
    Crafty 25.3               :    200 (  185,   14,   1),  96.0 :  +534.0,   8.3,  100.0
    Spike 1.4                 :    200 (  182,   18,   0),  95.5 :  +551.0,   8.6,  100.0
    Gaviota 1.0               :    200 (  191,    9,   0),  97.8 :  +589.1,   8.1,  100.0

14) Hiarcs 15.3.1      3457.4 :   3200 (+1781,=1068,-351),  72.3 %

    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    200 (   15,  107,  78),  34.3 :  -125.1,   7.7,    0.0
    Minic 3.41                :    200 (   15,  113,  72),  35.8 :   -93.9,   7.4,    0.0
    Wasp 7.00                 :    200 (   25,  101,  74),  37.8 :   -63.7,   7.6,    0.0
    Texel 1.11                :    400 (   55,  230, 115),  42.5 :   -57.4,   7.5,    0.0
    Shredder 13               :    400 (  227,  168,   5),  77.8 :  +229.4,   7.5,  100.0
    Demolito 20211004         :    200 (  139,   60,   1),  84.5 :  +256.7,   8.5,  100.0
    iCE 4.0                   :    200 (  140,   59,   1),  84.8 :  +317.4,   6.9,  100.0
    Weiss 1.3                 :    200 (  152,   48,   0),  88.0 :  +317.6,   8.2,  100.0
    Senpai 2.0                :    200 (  153,   46,   1),  88.0 :  +333.1,   8.8,  100.0
    Orion 1.0                 :    200 (  138,   58,   4),  83.5 :  +366.0,   8.6,  100.0
    Rodent 4                  :    200 (  175,   25,   0),  93.8 :  +452.9,   9.0,  100.0
    Crafty 25.3               :    200 (  183,   17,   0),  95.8 :  +476.7,   8.1,  100.0
    Spike 1.4                 :    200 (  180,   20,   0),  95.0 :  +493.7,   8.0,  100.0
    Gaviota 1.0               :    200 (  184,   16,   0),  96.0 :  +531.7,   8.0,  100.0

15) Shredder 13        3228.1 :   3200 (+961,=1090,-1149),  47.1 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    200 (   1,   45,  154),  11.8 :  -354.5,   7.8,    0.0
    Minic 3.41                :    200 (   2,   46,  152),  12.5 :  -323.3,   7.9,    0.0
    Wasp 7.00                 :    200 (   2,   46,  152),  12.5 :  -293.0,   8.1,    0.0
    Texel 1.11                :    400 (  10,  101,  289),  15.1 :  -286.7,   7.9,    0.0
    Hiarcs 15.3.1             :    400 (   5,  168,  227),  22.3 :  -229.4,   7.5,    0.0
    Demolito 20211004         :    200 (  67,   99,   34),  58.3 :   +27.3,   8.0,  100.0
    iCE 4.0                   :    200 (  84,   91,   25),  64.8 :   +88.1,   6.5,  100.0
    Weiss 1.3                 :    200 (  81,   89,   30),  62.8 :   +88.2,   7.9,  100.0
    Senpai 2.0                :    200 (  73,   99,   28),  61.3 :  +103.7,   8.1,  100.0
    Orion 1.0                 :    200 (  86,   82,   32),  63.5 :  +136.6,   8.1,  100.0
    Rodent 4                  :    200 ( 126,   66,    8),  79.5 :  +223.6,   8.1,  100.0
    Crafty 25.3               :    200 ( 137,   57,    6),  82.8 :  +247.3,   7.5,  100.0
    Spike 1.4                 :    200 ( 140,   57,    3),  84.3 :  +264.3,   7.5,  100.0
    Gaviota 1.0               :    200 ( 147,   44,    9),  84.5 :  +302.4,   7.3,  100.0

16) Demolito 20211004  3200.8 :   2200 (+869,=812,-519),  58.0 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   4,  48, 148),  14.0 :  -314.0,   8.9,    0.0
    Hiarcs 15.3.1             :    200 (   1,  60, 139),  15.5 :  -256.7,   8.5,    0.0
    Shredder 13               :    200 (  34,  99,  67),  41.8 :   -27.3,   8.0,    0.0
    iCE 4.0                   :    200 (  68,  87,  45),  55.8 :   +60.8,   7.2,  100.0
    Weiss 1.3                 :    200 (  82,  88,  30),  63.0 :   +60.9,   8.2,  100.0
    Senpai 2.0                :    200 (  80,  90,  30),  62.5 :   +76.4,   8.3,  100.0
    Orion 1.0                 :    200 (  79,  94,  27),  63.0 :  +109.4,   8.2,  100.0
    Rodent 4                  :    200 ( 119,  72,   9),  77.5 :  +196.3,   8.4,  100.0
    Crafty 25.3               :    200 ( 140,  48,  12),  82.0 :  +220.0,   7.9,  100.0
    Spike 1.4                 :    200 ( 123,  74,   3),  80.0 :  +237.0,   7.6,  100.0
    Gaviota 1.0               :    200 ( 139,  52,   9),  82.5 :  +275.1,   7.7,  100.0

17) iCE 4.0            3140.0 :   2200 (+672,=885,-643),  50.7 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   0,  46, 154),  11.5 :  -374.8,   7.3,    0.0
    Hiarcs 15.3.1             :    200 (   1,  59, 140),  15.3 :  -317.4,   6.9,    0.0
    Shredder 13               :    200 (  25,  91,  84),  35.3 :   -88.1,   6.5,    0.0
    Demolito 20211004         :    200 (  45,  87,  68),  44.3 :   -60.8,   7.2,    0.0
    Weiss 1.3                 :    200 (  47, 102,  51),  49.0 :    +0.1,   7.2,   50.7
    Senpai 2.0                :    200 (  58, 105,  37),  55.3 :   +15.7,   7.3,   98.4
    Orion 1.0                 :    200 (  67,  98,  35),  58.0 :   +48.6,   7.3,  100.0
    Rodent 4                  :    200 (  97,  84,  19),  69.5 :  +135.5,   7.3,  100.0
    Crafty 25.3               :    200 (  96,  84,  20),  69.0 :  +159.3,   6.1,  100.0
    Spike 1.4                 :    200 ( 110,  72,  18),  73.0 :  +176.2,   6.2,  100.0
    Gaviota 1.0               :    200 ( 126,  57,  17),  77.3 :  +214.3,   5.8,  100.0

18) Weiss 1.3          3139.9 :   2200 (+681,=849,-670),  50.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   3,  44, 153),  12.5 :  -374.9,   8.3,    0.0
    Hiarcs 15.3.1             :    200 (   0,  48, 152),  12.0 :  -317.6,   8.2,    0.0
    Shredder 13               :    200 (  30,  89,  81),  37.3 :   -88.2,   7.9,    0.0
    Demolito 20211004         :    200 (  30,  88,  82),  37.0 :   -60.9,   8.2,    0.0
    iCE 4.0                   :    200 (  51, 102,  47),  51.0 :    -0.1,   7.2,   49.3
    Senpai 2.0                :    200 (  54,  99,  47),  51.8 :   +15.5,   8.1,   97.2
    Orion 1.0                 :    200 (  74,  84,  42),  58.0 :   +48.5,   8.1,  100.0
    Rodent 4                  :    200 (  89,  92,  19),  67.5 :  +135.4,   8.4,  100.0
    Crafty 25.3               :    200 ( 111,  70,  19),  73.0 :  +159.1,   7.7,  100.0
    Spike 1.4                 :    200 ( 107,  75,  18),  72.3 :  +176.1,   7.5,  100.0
    Gaviota 1.0               :    200 ( 132,  58,  10),  80.5 :  +214.2,   7.7,  100.0

19) Senpai 2.0         3124.3 :   2200 (+635,=853,-712),  48.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   0,  34, 166),   8.5 :  -390.5,   8.9,    0.0
