Head to head statistics:

 1) Stockfish 16.1     3804.3 :   9792 (+4057,=5703,-32),  70.6 %

    vs.                       :  games (    +,    =,  -),   (%) :    Diff,    SD, CFS (%)
    SlowChess 2.9             :   1000 (   16,  331,  653),  18.1 :  -252.2,   3.4,    0.0
    Arasan 24.2.2             :   1000 (   37,  321,  642),  19.8 :  -251.8,   3.4,    0.0
    Minic 3.41                :   1000 (   45,  369,  586),  22.9 :  -215.2,   3.6,    0.0
    Texel 1.11                :   1879 (   98,  656, 1125),  22.7 :  -206.7,   3.5,    0.0
    Wasp 7.00                 :   1879 (   86,  662, 1131),  22.2 :  -206.7,   3.5,    0.0
    Demolito 20211004         :    879 (  381,  407,   91),  66.5 :  +114.0,   3.9,  100.0
    Senpai 2.0                :    879 (  504,  313,   62),  75.1 :  +182.2,   3.8,  100.0
    iCE 4.0                   :    879 (  502,  322,   55),  75.4 :  +182.4,   3.1,  100.0
    Weiss 1.3                 :    879 (  516,  299,   64),  75.7 :  +187.9,   3.8,  100.0
    Orion 1.0                 :    879 (  539,  292,   48),  77.9 :  +254.0,   3.9,  100.0
    Rodent 4                  :    879 (  690,  182,    7),  88.9 :  +329.2,   4.2,  100.0
    Crafty 25.3               :    879 (  712,  151,   16),  89.6 :  +354.4,   3.8,  100.0
    Spike 1.4                 :    879 (  708,  158,   13),  89.5 :  +370.5,   3.6,  100.0
    Gaviota 1.0               :    878 (  707,  155,   16),  89.4 :  +384.3,   3.7,  100.0

16) Demolito 20211004  3198.4 :   9667 (+3906,=3281,-2480),  57.4 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    878 (   24,  194,  660),  13.8 :  -320.7,   4.1,    0.0
    Wasp 7.00                 :    879 (   26,  173,  680),  12.8 :  -320.7,   4.1,    0.0
    Hiarcs 15.3.1             :    879 (   91,  407,  381),  33.5 :  -114.0,   3.9,    0.0
    Senpai 2.0                :    879 (  355,  384,  140),  62.2 :   +68.2,   3.9,  100.0
    iCE 4.0                   :    879 (  328,  399,  152),  60.0 :   +68.4,   3.4,  100.0
    Weiss 1.3                 :    879 (  329,  401,  149),  60.2 :   +73.9,   3.9,  100.0
    Orion 1.0                 :    879 (  406,  344,  129),  65.8 :  +140.1,   3.9,  100.0
