Head to head statistics:

 1) Stockfish 16.1     3607.4 :   1100 (+258,=841,-1),  61.7 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Orion 1.0                 :    100 (  38,  48,  14),  62.0 :  +120.2,  10.0,  100.0
    Senpai 2.0                :    100 (  46,  50,   4),  71.0 :  +149.7,  10.1,  100.0
    Rodent 4                  :    100 (  48,  50,   2),  73.0 :  +203.5,  10.3,  100.0
    Spike 1.4                 :    100 (  59,  40,   1),  79.0 :  +256.0,   9.6,  100.0
    Crafty 25.3               :    100 (  66,  32,   2),  82.0 :  +266.2,   9.8,  100.0
    Gaviota 1.0               :    100 (  82,  18,   0),  91.0 :  +339.4,   9.9,  100.0

16) Demolito 20211004  3136.7 :   1100 (+344,=535,-221),  55.6 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   2,  37,  61),  20.5 :  -272.6,  11.1,    0.0
    Hiarcs 15.3.1             :    100 (   2,  48,  50),  26.0 :  -144.9,  10.5,    0.0
    Shredder 13               :    100 (  11,  56,  33),  39.0 :   -77.0,  10.1,    0.0
    iCE 4.0                   :    100 (  30,  59,  11),  59.5 :   +36.7,   9.3,  100.0
    Weiss 1.3                 :    100 (  22,  64,  14),  54.0 :   +40.8,  10.3,  100.0
    Orion 1.0                 :    100 (  27,  49,  24),  51.5 :   +43.2,  10.1,  100.0
    Senpai 2.0                :    100 (  37,  52,  11),  63.0 :   +72.7,  10.1,  100.0
    Rodent 4                  :    100 (  46,  47,   7),  69.5 :  +126.5,  10.4,  100.0
    Spike 1.4                 :    100 (  52,  45,   3),  74.5 :  +179.0,   9.6,  100.0
    Crafty 25.3               :    100 (  53,  43,   4),  74.5 :  +189.2,  10.0,  100.0
    Gaviota 1.0               :    100 (  62,  35,   3),  79.5 :  +262.4,  10.3,  100.0

17) iCE 4.0            3100.0 :   1100 (+287,=536,-277),  50.5 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   0,  30,  70),  15.0 :  -309.4,   9.2,    0.0
    Hiarcs 15.3.1             :    100 (   0,  51,  49),  25.5 :  -181.6,   8.6,    0.0
    Shredder 13               :    100 (   7,  51,  42),  32.5 :  -113.8,   8.6,    0.0
    Demolito 20211004         :    100 (  11,  59,  30),  40.5 :   -36.7,   9.3,    0.0
    Weiss 1.3                 :    100 (  23,  52,  25),  49.0 :    +4.1,   9.2,   67.2
    Orion 1.0                 :    100 (  22,  63,  15),  53.5 :    +6.4,   8.8,   76.8
    Senpai 2.0                :    100 (  27,  54,  19),  54.0 :   +36.0,   9.0,  100.0
    Rodent 4                  :    100 (  44,  48,   8),  68.0 :   +89.8,   9.2,  100.0
    Spike 1.4                 :    100 (  45,  48,   7),  69.0 :  +142.2,   8.1,  100.0
    Crafty 25.3               :    100 (  51,  41,   8),  71.5 :  +152.5,   8.1,  100.0
    Gaviota 1.0               :    100 (  57,  39,   4),  76.5 :  +225.6,   8.5,  100.0

18) Weiss 1.3          3095.9 :   1100 (+276,=550,-274),  50.1 %

