Head to head statistics:

 1) Stockfish 16.1     3724.2 :   2200 (+601,=1596,-3),  63.6 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    RubiChess 20240817        :    200 (   0,  111,  89),  27.8 :  -150.2,   6.9,    0.0
    Ethereal 14.25            :    200 (   1,  114,  85),  29.0 :  -145.6,   6.8,    0.0
    Rebel 16.3                :    200 (   3,  124,  73),  32.5 :  -131.9,   6.1,    0.0
    rofChade 3.1              :    200 (   7,  146,  47),  40.0 :  -108.3,   6.9,    0.0
    Koivisto 9.0              :    200 (   4,  132,  64),  35.0 :  -101.7,   6.8,    0.0
    Arasan 24.2.2             :    400 (  15,  295,  90),  40.6 :   -62.7,   6.2,    0.0
    SlowChess 2.9             :    200 (  14,  158,  28),  46.5 :   -62.0,   6.6,    0.0
    Minic 3.41                :    400 (  40,  315,  45),  49.4 :   -21.3,   6.1,    0.0
    Texel 1.11                :    200 (  36,  149,  15),  55.3 :   +47.3,   7.4,  100.0
    Hiarcs 15.3.1             :    200 (  98,   94,   8),  72.5 :  +184.0,   7.6,  100.0
    Shredder 13               :    200 ( 135,   62,   3),  83.0 :  +268.8,   7.5,  100.0

13) Texel 1.11         3470.8 :   3200 (+1840,=1212,-148),  76.4 %

    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    200 (    3,  163,  34),  42.3 :  -109.9,   7.7,    0.0
    Minic 3.41                :    200 (    9,  155,  36),  43.3 :   -68.6,   7.5,    0.0
    Wasp 7.00                 :    200 (   15,  149,  36),  44.8 :   -47.3,   7.4,    0.0
    Hiarcs 15.3.1             :    400 (  167,  214,  19),  68.5 :  +136.7,   7.2,  100.0
    Shredder 13               :    400 (  236,  156,   8),  78.5 :  +221.5,   7.0,  100.0
    Demolito 20211004         :    200 (  138,   59,   3),  83.8 :  +287.4,   8.0,  100.0
    Weiss 1.3                 :    200 (  134,   59,   7),  81.8 :  +327.7,   7.7,  100.0
    iCE 4.0                   :    200 (  142,   57,   1),  85.3 :  +340.8,   6.6,  100.0
    Orion 1.0                 :    200 (  149,   50,   1),  87.0 :  +358.2,   8.2,  100.0
    Senpai 2.0                :    200 (  155,   44,   1),  88.5 :  +358.8,   8.0,  100.0
    Rodent 4                  :    200 (  165,   33,   2),  90.8 :  +428.1,   8.3,  100.0
    Crafty 25.3               :    200 (  176,   24,   0),  94.0 :  +495.7,   7.6,  100.0
    Spike 1.4                 :    200 (  175,   25,   0),  93.8 :  +502.0,   7.7,  100.0
    Gaviota 1.0               :    200 (  176,   24,   0),  94.0 :  +548.8,   7.5,  100.0

14) Hiarcs 15.3.1      3334.1 :   3200 (+1278,=1387,-535),  61.6 %

